"JURISDICTION","Sum(FINES)","JURISDICTION (Right)","GENDER","YEAR","16-19","20-24","25-29","30-39","40-49","50-59","60-69","70-79","80+","Total","Fines_Per_10k_Licences"
"VIC",0,"VIC","Persons",2023,243156,374920,457926,1017393,876143,800096,670179,464058,194040,5097911,0
"VIC",0,"VIC","Persons",2024,255932,392366,476429,1053080,902590,808374,685182,479282,207173,5260408,0
"QLD",0,"QLD","Female",2010,93039,132299,142416,293772,298476,260418,187206,85623,26205,1519454,0
"QLD",0,"QLD","Female",2011,94553,135325,147302,298109,307090,269114,197947,90744,28734,1568918,0
"QLD",0,"QLD","Female",2012,93614,136149,148254,298259,311710,277259,207584,97747,31292,1601868,0
"QLD",0,"QLD","Female",2013,95254,139032,149712,302964,316032,284082,216522,103355,33517,1640470,0
"QLD",0,"QLD","Female",2014,95689,138142,146726,301129,314733,286496,221341,109817,35750,1649823,0
"QLD",0,"QLD","Female",2015,96770,139252,147566,305423,317081,290502,228135,117610,36010,1678350,0
"QLD",0,"QLD","Female",2016,97836,140690,150590,313026,321161,294677,235607,125489,38133,1717209,0
"QLD",0,"QLD","Female",2017,99089,141822,154123,320237,324548,298939,239644,137096,41275,1756773,0
"QLD",0,"QLD","Female",2018,103497,143387,156619,326865,327863,302313,245796,146916,44124,1797380,0
"QLD",0,"QLD","Female",2019,101761,143845,158279,334045,329934,306705,252434,156322,47429,1830754,0
"QLD",0,"QLD","Female",2020,103730,145962,160716,343548,333499,312503,258884,165880,50135,1874857,0
"QLD",0,"QLD","Female",2021,106317,149224,163078,352118,335323,319486,267152,175838,53602,1922138,0
"QLD",0,"QLD","Female",2022,109166,151169,164543,359620,339284,325990,275631,184690,58156,1968249,0
"QLD",0,"QLD","Female",2023,113803,152270,165806,363897,344430,330442,283022,192974,62117,2008761,0
"QLD",0,"QLD","Female",2024,119327,154612,169238,371114,352831,334893,289638,199721,67426,2058800,0
"QLD",0,"QLD","Male",2010,96949,135188,148533,300453,305891,271547,209880,105119,39327,1612887,0
"QLD",0,"QLD","Male",2011,98754,140007,155769,308402,316609,280258,219737,110136,42349,1672021,0
"QLD",0,"QLD","Male",2012,97569,139312,155589,308626,320873,286986,228101,116553,45527,1699136,0
"QLD",0,"QLD","Male",2013,97514,142117,157590,313499,325075,293339,236053,121277,47890,1734354,0
"QLD",0,"QLD","Male",2014,96958,141315,153301,309645,322040,295354,238600,127248,49987,1734448,0
"QLD",0,"QLD","Male",2015,97176,142628,152981,312395,323433,298649,243220,134572,48767,1753821,0
"QLD",0,"QLD","Male",2016,98832,144309,155570,318931,326575,301972,249033,141965,51310,1788497,0
"QLD",0,"QLD","Male",2017,100398,146206,158194,325190,329186,305666,251404,153264,54555,1824063,0
"QLD",0,"QLD","Male",2018,105133,147522,160839,331231,330664,309335,255419,162698,57422,1860263,0
"QLD",0,"QLD","Male",2019,103082,147215,163417,337367,332002,313025,260210,171489,61205,1889012,0
"QLD",0,"QLD","Male",2020,105052,149992,166612,346485,336029,318393,265968,179843,63166,1931540,0
"QLD",0,"QLD","Male",2021,108028,151715,167404,350958,336241,324349,272581,188482,67089,1966847,0
"QLD",0,"QLD","Male",2022,110829,153158,167736,355424,339782,330142,279798,196401,71618,2004888,0
"QLD",0,"QLD","Male",2023,116554,155177,168903,359210,343798,333972,286412,203708,75228,2042962,0
"QLD",0,"QLD","Male",2024,123238,159803,173322,368228,351290,337954,292834,208696,80785,2096150,0
"QLD",0,"QLD","Persons",2010,189988,267487,290949,594225,604367,531965,397086,190742,65532,3132341,0
"QLD",0,"QLD","Persons",2011,193307,275332,303071,606511,623699,549372,417684,200880,71083,3240939,0
"QLD",0,"QLD","Persons",2012,191183,275461,303843,606885,632583,564245,435685,214300,76819,3301004,0
"QLD",0,"QLD","Persons",2013,192768,281149,307302,616463,641107,577421,452575,224632,81407,3374824,0
"QLD",0,"QLD","Persons",2014,192647,279457,300027,610774,636773,581850,459941,237065,85737,3384271,0
